"","scrubbed_family","scrubbed_genus","log_pet_leafarea","count","fit","upr","lwr"
"2057","Rosaceae","Spiraea",-7.1953973522339,159,4.20375429882595,4.96694110647151,3.43229104913752
"2058","Rosaceae","Spiraea",-6.80692400487082,159,4.39162785417928,5.15265074941399,3.65176331151717
"2059","Rosaceae","Spiraea",-7.13441249599616,159,4.24557561345525,4.94538226330679,3.52936889617476
"2060","Rosaceae","Spiraea",-7.53752586317773,159,4.08409233586708,4.8665713772097,3.30260121407185
"2061","Rosaceae","Spiraea",-7.02026462004333,159,4.31487692946903,5.03160576388999,3.5148930420613
"2076","Sapindaceae","Allophylus",-7.89419490742569,45,4.01505686953508,4.73689708266804,3.19371142349107
"2077","Sapindaceae","Allophylus",-6.85575598387176,45,4.40525193654059,5.12547896445963,3.63786939136406
"2078","Sapindaceae","Allophylus",-6.98300266925698,45,4.37671382879763,5.1500232307703,3.61439263963535
"2079","Sapindaceae","Allophylus",-7.64660300151345,45,4.11467692441728,4.90430328441682,3.2961136810496
"2080","Fabaceae","Caesalpinia",-5.76241367840131,45,4.771805998631,5.51449669032891,4.01493908206143
"2081","Fabaceae","Caesalpinia",-6.14576230441727,45,4.5812559256051,5.40339895235845,3.88763117455317
"2082","Fabaceae","Caesalpinia",-5.31423843684296,45,4.92843050654461,5.67212042449252,4.22637700076261
"2083","Fabaceae","Caesalpinia",-6.14266099497881,45,4.58816083586004,5.35755591453741,3.80096773703722
"2084","Fabaceae","Caesalpinia",-5.4496941305729,45,4.89044409217293,5.67492501070028,4.0645866084137
"2085","Sapindaceae","Cardiospermum",-6.77870880358041,45,4.43468765638322,5.19082259223462,3.68839225736742
"2086","Sapindaceae","Cardiospermum",-6.35196565864216,45,4.59771056725676,5.35393660246377,3.91752396973817
"2105","Fabaceae","Leguminosites",-6.31515355842225,45,4.50854756161181,5.27599191775473,3.83628220179909
"2106","Fabaceae","Leguminosites",-6.33342879726485,45,4.51500409617291,5.2630384349814,3.74290060780296
"2107","Fabaceae","Leguminosites",-5.93533225955558,45,4.6745388036048,5.43361692464573,3.89115167162002
"2108","Fabaceae","Leguminosites",-6.72245815358665,45,4.36899722216888,5.16049726653531,3.61526439216873
"2109","Fabaceae","Leguminosites",-6.63593966571038,45,4.38727776942845,5.14648831618285,3.61788126437931
"2110","Fabaceae","Leguminosites",-6.47228874815672,45,4.46738871087791,5.21671168996125,3.74117515680869
"2118","Fabaceae","Parvileguminophyllum",-5.36852161431219,45,4.93218910027766,5.68422945735502,4.15931294935945
"2119","Fabaceae","Parvileguminophyllum",-5.34209351194502,45,4.92870163174751,5.67065404917906,4.19797925917492
"2120","Fabaceae","Parvileguminophyllum",-5.17369148554045,45,4.99477834501444,5.7064112334665,4.20818328336063
"2121","Fabaceae","Parvileguminophyllum",-5.47511397402159,45,4.86164522883525,5.6487335938015,4.10331938516805
"2122","Fabaceae","Parvileguminophyllum",-5.06296117404841,45,5.02545199096823,5.83428787067261,4.30178491021815
"2123","Salicaceae","Populus",-6.46407509140592,79,4.74536107282959,5.51768045458618,4.00201580774088
"2124","Salicaceae","Populus",-6.49826494962435,79,4.75949618779207,5.4998840541275,3.98618378700926
"2125","Salicaceae","Populus",-7.23777577292637,79,4.51018231771429,5.29494021847162,3.70866187717033
"2126","Salicaceae","Populus",-8.64803677087759,79,4.05497420838222,4.84777139389685,3.26422067350524
"2127","Salicaceae","Populus",-6.21424266520105,79,4.84131182527367,5.58685908577278,4.04050206420328
"2141","Salicaceae","Salix",-7.40679891706599,79,4.42752703063979,5.29721175381752,3.6228061011728
"2142","Salicaceae","Salix",-6.5347575790115,79,4.75069902022992,5.5177425817313,3.95555252442441
"2143","Salicaceae","Salix",-6.68250913965613,79,4.68851462803852,5.49690859129994,3.88214664705222
"2144","Salicaceae","Salix",-6.10576400746464,79,4.85717304482049,5.60398724202743,4.07818952217237
"2145","Salicaceae","Salix",-6.63811829420452,79,4.69118129150626,5.4510820915183,3.89407714890752
"2146","Salicaceae","Salix",-6.36447040315468,79,4.80458457521034,5.5248472456023,3.99118912924201
"2151","Myrtaceae","Syzygioides",-5.44217896102472,10,5.22366191010347,5.97028669682569,4.4645563154229
"2152","Myrtaceae","Syzygioides",-5.83240922899284,10,5.10890197264544,5.88438204717951,4.37096035322421
"2155","Betulaceae","Alnus",-6.49639425267559,403,4.49094920990019,5.22655662542915,3.6899276353389
"2156","Betulaceae","Alnus",-7.4371862470737,403,4.14582422210298,4.91708990537314,3.40845656105685
"2157","Betulaceae","Alnus",-8.05924316585205,403,3.87055925854971,4.69524930978941,3.12363378446693
"2158","Betulaceae","Alnus",-7.89844902653107,403,3.9610520464062,4.72314745631035,3.11433491297504
"2159","Betulaceae","Alnus",-7.55826834789827,403,4.07063633320134,4.82588013242614,3.34339246888718
"2160","Betulaceae","Alnus",-7.56643147002691,403,4.06546971962549,4.9237013738414,3.24830686043742
"2161","Betulaceae","Alnus",-7.79171919843188,403,4.01523562192899,4.72909040157192,3.25015021109816
"2162","Betulaceae","Alnus",-7.56892716190307,403,4.09624199111357,4.90694516856353,3.33763881807595
"2163","Betulaceae","Alnus",-7.22595016860302,403,4.20104322805455,4.96978586372485,3.41701074574291
"2164","Betulaceae","Alnus",-5.90156973122675,403,4.74441927802006,5.55626125795797,3.97760102044208
"2165","Betulaceae","Alnus",-7.49841266045095,403,4.10351383140651,4.8930954536597,3.3148417049987
"2166","Betulaceae","Alnus",-6.48918376954923,403,4.48640177668938,5.25177003702747,3.73417272565488
"2167","Betulaceae","Alnus",-7.01810153615262,403,4.31276416218349,5.05825802044822,3.49382756987517
"2168","Betulaceae","Alnus",-8.15923207495211,403,3.85792943643822,4.6348042008484,3.05747947596709
"2169","Betulaceae","Alnus",-6.89356740455881,403,4.32909234998949,5.11120311665295,3.55182657857796
"2170","Betulaceae","Alnus",-8.42181483211801,403,3.76264013711072,4.56909784391847,2.94914264716264
"2171","Betulaceae","Alnus",-8.47734286881628,403,3.72697072181275,4.52635688689676,2.97749345168603
"2172","Betulaceae","Alnus",-6.85346692426893,403,4.34385139259324,5.17256794958909,3.51722001749506
"2173","Betulaceae","Alnus",-8.53343945009464,403,3.69567783771523,4.55866002525931,2.92542857445693
"2174","Betulaceae","Alnus",-7.61106795354118,403,4.08195418425318,4.86231890351279,3.31209718465568
"2175","Betulaceae","Alnus",-7.85329203701737,403,3.97913461171016,4.77612690456257,3.16291247781679
